MODEL;MSAN;RIN;IP;TYPE;ITEM;DESCRIPTION;PRIORITY;COMMENTS
Zhone;SNE-A37-0;a37-rin-226;10.209.33.81;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A35-0;a35-rin-264;10.209.34.9;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;SNE-A35-0;a35-rin-264;10.209.34.9;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A34-0;a34-rin-38;10.209.33.201;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A34-0;a34-rin-38;10.209.33.201;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A01-1;a01-rin-60;10.209.33.59;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;SNE-A01-1;a01-rin-60;10.209.33.59;CARD;b: MXK FOUR GIGE;NOT_PROV;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A40-1;a40-rin-278;10.209.34.4;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A40-1;a40-rin-278;10.209.34.4;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A31-1;a31-rin-215;10.209.33.206;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A31-1;a31-rin-215;10.209.33.206;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A14-1;a14-rin-20;10.209.33.19;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A14-1;a14-rin-20;10.209.33.19;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A36-1;a36-rin-207;10.209.33.88;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A36-1;a36-rin-207;10.209.33.88;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A31-0;a31-rin-214;10.209.33.205;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A31-0;a31-rin-214;10.209.33.205;SYSTEM;FAN tray;fan_speed_error;Critical;Falha na bandeja de FANs do shelf
Zhone;SNE-A31-0;a31-rin-214;10.209.33.205;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A40-0;a40-rin-268;10.209.34.1;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A40-0;a40-rin-268;10.209.34.1;SYSTEM;Shelf;not_in_redundant_mode;Minor;""
Zhone;SNE-A38-1;a38-rin-219;10.209.33.218;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A38-1;a38-rin-219;10.209.33.218;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A38-1;a38-rin-219;10.209.33.218;CARD;6: MXK 24 PORT VDSL2 POTS;FAULT;Critical;Cartao com falha inoperante
Zhone;SNE-A38-1;a38-rin-219;10.209.33.218;CARD;8: MXK 24 PORT VDSL2 POTS;RESET;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A39-0;a39-rin-210;10.209.33.83;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A39-0;a39-rin-210;10.209.33.83;SYSTEM;Shelf;not_in_redundant_mode;Minor;""
Zhone;SNE-A39-0;a39-rin-210;10.209.33.83;INTERFACE;1-b-2-0/eth;Inactive;Minor;Secondary Inactive
Zhone;SNE-A38-0;a38-rin-218;10.209.33.217;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;SNE-A38-0;a38-rin-218;10.209.33.217;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A01-2;a01-rin-61;10.209.33.60;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A01-2;a01-rin-61;10.209.33.60;SYSTEM;FAN tray;fan_speed_error;Critical;Falha na bandeja de FANs do shelf
Zhone;SNE-A01-2;a01-rin-61;10.209.33.60;CARD;b: MXK FOUR GIGE;NOT_PROV;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A01-2;a01-rin-61;10.209.33.60;CARD;2: MXK ADSL-48-A Bonded/with Packet Voice POTS, RNG, ITM;FAULT;Critical;Cartao com falha inoperante
Zhone;SNE-A36-0;a36-rin-206;10.209.33.87;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;SNE-A36-0;a36-rin-206;10.209.33.87;SYSTEM;Shelf;not_in_redundant_mode;Minor;""
Zhone;SNE-A36-0;a36-rin-206;10.209.33.87;INTERFACE;1-b-2-0/eth;Inactive;Minor;Secondary Inactive
Zhone;SNE-A34-1;a34-rin-39;10.209.33.202;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A34-1;a34-rin-39;10.209.33.202;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A37-1;a37-rin-227;10.209.33.82;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;SNE-A37-1;a37-rin-227;10.209.33.82;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A30-0;a30-rin-246;10.209.34.57;SYSTEM;Shelf;power_supply_b_failure;Minor;""
Zhone;SNE-A30-0;a30-rin-246;10.209.34.57;CARD;b: MXK FOUR GIGE;RESET_HOLD;Minor;Cartao nao comissionado ou desativado presente no slot
Zhone;SNE-A39-1;a39-rin-211;10.209.33.84;SYSTEM;Shelf;power_supply_a_failure;Minor;""
Zhone;SNE-A39-1;a39-rin-211;10.209.33.84;SYSTEM;FAN tray;fan_speed_error;Critical;Falha na bandeja de FANs do shelf
Zhone;SNE-A39-1;a39-rin-211;10.209.33.84;CARD;12: MXK 24 PORT VDSL2 POTS;FAULT;Critical;Cartao com falha inoperante
Zhone;SNE-A39-1;a39-rin-211;10.209.33.84;CARD;14: MXK 24 PORT VDSL2 POTS;FAULT;Critical;Cartao com falha inoperante
Milegate;SNE-A20;a20-rin-165;10.209.33.135;CARD;unit-13;COGE3 R1F Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SNE-A15-5-SIP;a15-rin-160;10.209.33.143;CARD;unit-13;COGE3 R1E Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SNE-A29;a29-rin-282;10.209.33.51;CARD;unit-13;COGE3 R1F Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SNE-A05-5;a05-rin-309;10.209.33.71;CARD;unit-13;COGE3 R1H Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SNE-A39-4;a39-rin-212;10.209.33.211;CARD;unit-13;COGE3 R1D Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SNE-A22-5;a22-rin-113;10.209.33.131;CARD;unit-13;COGE3 R1K Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
Milegate;SNE-A15-4;a15-rin-143;10.209.33.142;SYSTEM;FAN tray;Partial Fan Breakdown;Major;Falha na bandeja de FANs do shelf
Milegate;SNE-A06-5;a06-rin-421;10.209.33.35;SYSTEM;FAN Tray;Unit Not Available;Critical;Bandeja de ventilacao do shelf esta inoperante
Milegate;SNE-A20-99;a20-rin-134;10.209.33.133;SYSTEM;FAN tray;Partial Fan Breakdown;Major;Falha na bandeja de FANs do shelf
Milegate;SNE-A28-0;a28-rin-238;10.209.33.45;SYSTEM;Shelf;Loss Of Signal On PDH Clock Source 4;Major;LOSS em uma das fontes de sincronismo E1 TDM
Milegate;SNE-A28-0;a28-rin-238;10.209.33.45;SYSTEM;alarm-4;Falha de Fan;Critical;Alarme externo de falha no do sistema de ventilacao do armario
Milegate;SNE-A03-0;a03-rin-66;10.209.33.65;SYSTEM;Shelf;NE Temperature Limit Approaching;Critical;Sobreaquecimento do shelf - verificar bandeja de FANs e sistema de ventilacao do armario
Milegate;SNE-A03-0;a03-rin-66;10.209.33.65;SYSTEM;alarm-1;Porta DG;Minor;""
Milegate;SNE-A03-0;a03-rin-66;10.209.33.65;SYSTEM;alarm-2;Temperatura Alta;Critical;Alarme externo de falha no do sistema de ventilacao do armario
Milegate;SNE-A19-0;a19-rin-138;10.209.33.137;SYSTEM;FAN tray;Partial Fan Breakdown;Major;Falha na bandeja de FANs do shelf
Milegate;SNE-A19-0;a19-rin-138;10.209.33.137;SYSTEM;alarm-4;Falha de Fan;Critical;Alarme externo de falha no do sistema de ventilacao do armario
Milegate;SNE-A19-0;a19-rin-138;10.209.33.137;CARD;unit-13;COGE1 R4E Plugged;Minor;Cartao nao comissionado ou desativado presente no slot
