MODEL;MSAN;RIN;IP;Slot_ID;Slot_Name;Slot_Main_Mode;Slot_State;Slot_Alarm;Slot_Prop_Alarm;Port_ID;Port_Main_Mode;Port_Alarm;Port_User_Label;Port_Service_Label;Port_Description;OperationalStatus;NearEnd_CurrentAttenuation;NearEnd_CurrentMargin;NearEnd_CurrentPowerBackOff;FarEnd_CurrentAttenuation;FarEnd_CurrentMargin;FarEnd_CurrentPowerBackOff
Milegate;SNE-A39-4;a39-rin-212;10.209.33.211;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Cleared;logport-2 ;port-2; Cleared   ; TECNOSIL   ; VOXDDR - SNE-301IXOD53-032 ; PAR SECUNDARIO - 1104;Up;9;24;1;8;20;3
Milegate;SNE-A54-1;a54-rin-204;10.209.34.86;unit-16;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Cleared;logport-1 ;port-1; Cleared   ; Cliente: KLM SUPERMERCADOS ; Designador: SNE-301L1NY07 ; sec 311/312;Up;11;24;0;12;20;2
Milegate;SNE-A45;a45-rin-277;10.209.34.14;unit-18;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Cleared;logport-1 ;port-1; Cleared   ; Giovane Elaboracao par- 198/199 ;               ; ;Up;7;24;2;8;21;4
Milegate;SNE-A19-0;a19-rin-138;10.209.33.137;unit-21;STIM1 R1B;stim1_r4d07;Ok;Cleared;Major;logport-1 ;port-1; Cleared   ; CORTE VIVO INDUSTRIA           ; WO - 10356251                 ; SNE-30PWKYJT-032;Up;6;24;3;6;21;0
Milegate;SNE-A51-0;a51-rin-197;10.209.34.73;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-1 ;port-1; Cleared   ; RONY SETE VIEIRA                   ; SNE-301K1PXQV-032             ; 16531453 PAR/ 278 - 280;Up;5;21;3;6;20;5
Milegate;SNE-A52-0;a52-rin-199;10.209.34.77;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Major;logport-1 ;port-1; Major     ; Cliente: INEAL ; Designador: SNE-301KQWHE7-032 ; PAR 967 E 969;Down;128;127;255;128;127;255
Milegate;SNE-A19-0;a19-rin-138;10.209.33.137;unit-21;STIM1 R1B;stim1_r4d07;Ok;Cleared;Major;logport-2 ;port-2; Cleared   ; Cliente: SABIC COMERCIO        ; Designador: SNE-301KLA6AJ-032 ; PAR 269;Up;8;19;2;8;20;4
Milegate;SNE-A44;a44-rin-273;10.209.34.22;unit-21;STIM1 R1D;stim1_r5d02_04;Ok;Cleared;Warning;logport-1 ;port-1; Cleared   ; CONTEMPORANI EMPREENDIMENTOS HOTELEIROS ; SNE-301I62QGN-032            ; Pares secundarios: 824-825;Up;6;24;3;6;21;4
Milegate;SNE-A18-0;a18-rin-90;10.209.33.89;unit-21;STIM1 R1B;stim1_r5d02_04;Ok;Cleared;Major;logport-5 ;port-5; Cleared   ; ACC_INDUSTRIA           ; SNE-301KKITD9-032             ; ;Up;6;25;3;6;21;0
Milegate;SNE-A11-0;a11-rin-595;10.209.33.9;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Major;logport-1 ;port-1; Cleared   ; Cliente: Bazar e Perfumaria Ives ; Designador : SNE-30YNV948-03  ; Secundario: 490;Up;2;23;5;2;21;5
Milegate;SNE-A06-0;a06-rin-34;10.209.33.33;unit-21;STIM1 R1C;stim1_r5d02_04;Ok;Cleared;Major;logport-2 ;port-2; Major     ; Cliente: LUCKY                 ; Designador:  SNE-301L3RGDB   ; ;Down;128;127;255;128;127;255
Milegate;SNE-A51-0;a51-rin-197;10.209.34.73;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-2 ;port-2; Cleared   ; XAVANTES CORRETORA DE SEGUROS LTDA ; SNE-3017X311B-032             ; PAR SECUNDARIO 1071;Up;3;24;5;2;21;6
