Shelf_ID;RIN;IP;Slot_ID;Slot_Name;Slot_Main_Mode;Slot_State;Slot_Alarm;Slot_Prop_Alarm;Port_ID;Port_Main_Mode;Port_State;Port_Alarm;Port_User_Label;Port_Service_Label;Port_Description;OperationalStatus;Near_End_CurrentAttenuation;Near_End_CurrentMargin;Near_End_CurrentPowerBackOff;Far_End_CurrentAttenuation;Far_End_CurrentMargin;Far_End_CurrentPowerBackOff
IDU-A11-0 ;4;10.211.167.67;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-1;port-1;"";Cleared;Cliente: ESTRELA DO VALE CONS;Designador: IDU-301IKIVXB;"";Up;6;24;2;6;21;4
IDU-A11-0 ;4;10.211.167.67;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-2;port-2;"";Cleared;"";"";"";Up;7;23;2;6;21;4
IDU-A19-0 ;20;10.211.167.91;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-1;port-1;"";Cleared;IDU-301IVWH53-032;"";"";Up;6;24;3;6;20;4
IDU-A19-0 ;20;10.211.167.91;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-2;port-2;"";Cleared;"";"";"";Up;4;22;3;4;20;5
IDU-A19-0 ;20;10.211.167.91;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-3;port-3;"";Cleared;"";"";"";Up;4;23;3;4;21;5
IDU-A20-0 ;24;10.211.167.95;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-2;port-2;"";Cleared;Cliente: FEMINA CLINICA;Designador: IDU-301IUAJF6-032;"";Up;8;23;2;8;21;3
IDU-A20-0 ;24;10.211.167.95;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-3;port-3;"";Cleared;Cliente:HIT WORLD;Designador:IDU-301JP49R4;"";Up;5;24;3;6;21;5
IDU-A20-0 ;24;10.211.167.95;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-4;port-4;"";Cleared;Cliente:GP GUARDA PATRIMONIA;Designador:IDU-301K5207E;"";Up;5;23;3;6;20;4
IDU-A20-0 ;24;10.211.167.95;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-5;port-5;"";Cleared;Cliente:LIG-BEM_MATERIAIS;Designador:IDU-301KB54S3-032;"";Up;7;23;3;6;21;4
IDU-A20-0 ;24;10.211.167.95;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-7;port-7;"";Cleared;MICROIND;IDU-301JVXTGN;"";Up;4;24;4;4;20;5
IDU-A21-0 ;32;10.211.167.75;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-1;port-1;"";Cleared;ELCIO CARDOSO DA SILVA CONSULTORIA;IDU-301IK28MB-032;"";Up;8;24;1;8;21;3
IDU-A23-0 ;36;10.211.167.107;unit-21;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-3;port-3;"";Cleared;Cliente:AS DE PAIS E AMIGOS;Designador:IDU-301IR7POF-032;"";Up;9;24;1;10;21;3
IDU-A27-0 ;68;10.211.167.123;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Warning;logport-2;port-2;"";Cleared;"";"";"";Up;4;22;4;4;20;5
IDU-A27-0 ;68;10.211.167.123;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Warning;logport-3;port-3;"";Cleared;CLC NEGOCIOS IMOBILIARIOS LTDA - EPP;OS: 15082652;"";Up;5;23;3;6;21;5
IDU-A27-0 ;68;10.211.167.123;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Warning;logport-6;port-6;"";Cleared;"";"";"";Up;7;24;2;6;21;4
IDU-A27-0 ;68;10.211.167.123;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Warning;logport-7;port-7;"";Cleared;Cliente:HR TURISMO E PASSAGENS LTDA - ME;Designador: IDU_301J2TNL7_032;"";Up;6;24;3;6;20;4
IDU-A29-0 ;73;10.211.167.127;unit-18;STIM1 R1D;stim1_r4d07;Ok;Cleared;Cleared;logport-1;port-1;"";Cleared;"";"";"";Up;7;19;1;8;20;0
IDU-A30-0 ;76;10.211.167.131;unit-20;STIM1 R1D;stim1_r4d07;Ok;Cleared;Major;logport-1;port-1;"";Major;Cliente: NOLOGIA EM SISTEMAS;Designador: IDU-301IGBFUA-032;"";Down;128;127;255;128;127;255
IDU-A30-0 ;76;10.211.167.131;unit-20;STIM1 R1D;stim1_r4d07;Ok;Cleared;Major;logport-2;port-2;"";Cleared;Cliente: HIT WORLD TELECOMUNICA??ES;Designador:IDU-301JXYMYN;"";Up;8;23;2;8;20;3
